text,reject,PUNISHMENT,GENERAL_CIRCUM,CONFESSION,CONFESSION_LVL2,CIR_TYPE_WEP,CIR_PURPOSE,CIR_PLANNING,CIR_MONEY_PAID_WEP,CIR_HELD_WAY_WEP,REGRET,RESPO,CIR_USE,CIR_STATUS_WEP,CIR_OBTAIN_WAY_WEP,CIR_BUYER_ID_WEP,CIR_AMMU_AMOUNT_WEP,CIRCUM_OFFENSE
"קיים אף קושי בטענת ההגנה, לפיה הנאשם עבד לפרנסתו באופן קבוע כמתקין מזגנים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"אמנם, הובא עד אחד שהעיד כי הנאשם התקין מזגן, ואולם מעבר לכך לא הוצגו ראיות של ממש בדבר הכשרתו של הנאשם ועבודתו באופן מסודר בתחום המזגנים, להבדיל ממקרה מסוים.",,,"['1 : לא', '2 : לא', '3 : לא', '4 : לא', '5 : לא', '6 : לא', '7 : לא', '8 : לא', '9 : לא', '10 : לא', '11 : לא']",,,,,,,,,,,,,,,
"לפיכך, גרסתו של הנאשם נעדרת תשתית ראייתית מספקת.",,,,,,,,,,,,,,,,,,
"מיקומה של טביעת האצבע, בחלקו הפנימי של הסרט הדביק, וכ- 10 ס""מ לאחר תחילת התרת הליפוף, אינם מתיישבים עם האפשרות של מגע אקראי בסרט.",,,,,,,,,,,,,,,,,,
"כמו-כן, כפי שנקבע בעניין אלמליח, לא ניתן לקבל את האפשרות שאדם אחר התיר את הסרט הדביק ממזגן שהתקין הנאשם, עשה בו שימוש חוזר לצורך ליפופו על המחסנית והחביא את הנשק בסמוך לחצרו של הנאשם.",,,,,,,,,,[],,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
"מדובר בחפץ זמין, זול ונגיש לכל, כך שאין כל הסבר מדוע ירצה מאן דהוא לעשות שימוש חוזר בסרט הדביק.",,,,,,,,,,,,,,,,,,
"גם האפשרות שאדם אחר ניסה להפליל את הנאשם בדרך זו, אין לה על מה להתבסס.",,,,,,,,,,,,,,,,,,
"סבורני כי המסקנה היחידה האפשרית מתוך מכלול הראיות הינה שהנאשם החזיק בנשק ובמחסנית, והוא זה שכרך את הסרט הדביק סביב המחסנית.",,,,,,,,,,,,,[],,,,,
שוכנעתי כי המאשימה הוכיחה את היסוד העובדתי והנפשי של העבירות.,,,,,,,,,,,,,,,,,,
"אף אם הנשק נמצא מחוץ לחצר, אין הדבר שולל את ההחזקה.",,,,,,,,,,,,,,,,,,
"מעבר לכך, מובן הדבר כי בעת שהנאשם ליפף את הסרט הדביק על המחסנית (""שפצור הנשק""), הרי שהחזיק בנשק ובמחסנית, מבחינה עובדתית ומשפטית.",,,,,,,,,,,,,[],"['נשק עם מחסנית בהכנס', 'נשק עם כדור בקנה']",,,,
